10.253.214.9 2026-09-11 23:11:39.017 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1167 after 1.399 ms
10.253.214.9 2026-09-11 23:11:39.228 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1282 after 1.134 ms
10.253.214.9 2026-09-11 23:11:39.228 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.159 ms
10.253.214.9 2026-09-11 23:11:39.229 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.836 ms
10.253.214.9 2026-09-11 23:11:39.229 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.014 ms
10.253.214.9 2026-09-11 23:11:39.230 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 8.386 ms
10.253.214.9 2026-09-11 23:11:39.230 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.145 ms
10.253.214.9 2026-09-11 23:11:39.231 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1285 after 1.048 ms
10.253.214.9 2026-09-11 23:11:39.234 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1285 after 4.288 ms
10.253.214.9 2026-09-11 23:11:39.234 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.029 ms
10.253.214.9 2026-09-11 23:11:39.235 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.135 ms
10.253.214.9 2026-09-11 23:11:39.235 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.009 ms
10.253.214.9 2026-09-11 23:11:39.235 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.044 ms
10.253.214.9 2026-09-11 23:11:39.235 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.021 ms
10.253.214.9 2026-09-11 23:11:39.235 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.029 ms
10.253.214.9 2026-09-11 23:11:39.236 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.236 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1288 after 1.016 ms
10.253.214.9 2026-09-11 23:11:39.238 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1288 after 3.145 ms
10.253.214.9 2026-09-11 23:11:39.238 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.218 ms
10.253.214.9 2026-09-11 23:11:39.239 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.036 ms
10.253.214.9 2026-09-11 23:11:39.239 UTC [251] authenticator@postgres LOG:  process 251 still waiting for ShareLock on transaction 1289 after 1.043 ms
10.253.214.9 2026-09-11 23:11:39.242 UTC [251] authenticator@postgres LOG:  process 251 acquired ShareLock on transaction 1289 after 3.901 ms
10.253.214.9 2026-09-11 23:11:39.242 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.267 ms
10.253.214.9 2026-09-11 23:11:39.243 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.217 ms
10.253.214.9 2026-09-11 23:11:39.243 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.387 ms
10.253.214.9 2026-09-11 23:11:39.243 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.037 ms
10.253.214.9 2026-09-11 23:11:39.244 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.023 ms
10.253.214.9 2026-09-11 23:11:39.244 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 10.182 ms
10.253.214.9 2026-09-11 23:11:39.244 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.079 ms
10.253.214.9 2026-09-11 23:11:39.245 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.033 ms
10.253.214.9 2026-09-11 23:11:39.245 UTC [255] authenticator@postgres LOG:  process 255 still waiting for ShareLock on transaction 1294 after 1.076 ms
10.253.214.9 2026-09-11 23:11:39.247 UTC [255] authenticator@postgres LOG:  process 255 acquired ShareLock on transaction 1294 after 2.882 ms
10.253.214.9 2026-09-11 23:11:39.247 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.688 ms
10.253.214.9 2026-09-11 23:11:39.248 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.991 ms
10.253.214.9 2026-09-11 23:11:39.248 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.069 ms
10.253.214.9 2026-09-11 23:11:39.248 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.029 ms
10.253.214.9 2026-09-11 23:11:39.249 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1296 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.249 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1296 after 1.275 ms
10.253.214.9 2026-09-11 23:11:39.249 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.248 ms
10.253.214.9 2026-09-11 23:11:39.250 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.218 ms
10.253.214.9 2026-09-11 23:11:39.250 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.022 ms
10.253.214.9 2026-09-11 23:11:39.250 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.505 ms
10.253.214.9 2026-09-11 23:11:39.251 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.140 ms
10.253.214.9 2026-09-11 23:11:39.251 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.612 ms
10.253.214.9 2026-09-11 23:11:39.251 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.048 ms
10.253.214.9 2026-09-11 23:11:39.252 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.021 ms
10.253.214.9 2026-09-11 23:11:39.252 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 8.177 ms
10.253.214.9 2026-09-11 23:11:39.253 UTC [254] authenticator@postgres LOG:  process 254 still waiting for ShareLock on transaction 1301 after 1.280 ms
10.253.214.9 2026-09-11 23:11:39.253 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.281 ms
10.253.214.9 2026-09-11 23:11:39.255 UTC [254] authenticator@postgres LOG:  process 254 acquired ShareLock on transaction 1301 after 2.949 ms
10.253.214.9 2026-09-11 23:11:39.255 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.696 ms
10.253.214.9 2026-09-11 23:11:39.255 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.754 ms
10.253.214.9 2026-09-11 23:11:39.255 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.484 ms
10.253.214.9 2026-09-11 23:11:39.256 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.077 ms
10.253.214.9 2026-09-11 23:11:39.256 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.010 ms
10.253.214.9 2026-09-11 23:11:39.256 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.807 ms
10.253.214.9 2026-09-11 23:11:39.256 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.063 ms
10.253.214.9 2026-09-11 23:11:39.257 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.076 ms
10.253.214.9 2026-09-11 23:11:39.257 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.569 ms
10.253.214.9 2026-09-11 23:11:39.258 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.258 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1306 after 1.050 ms
10.253.214.9 2026-09-11 23:11:39.261 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1306 after 4.103 ms
10.253.214.9 2026-09-11 23:11:39.261 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 10.881 ms
10.253.214.9 2026-09-11 23:11:39.263 UTC [252] authenticator@postgres LOG:  process 252 still waiting for ShareLock on transaction 1308 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.264 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.396 ms
10.253.214.9 2026-09-11 23:11:39.265 UTC [252] authenticator@postgres LOG:  process 252 acquired ShareLock on transaction 1308 after 3.585 ms
10.253.214.9 2026-09-11 23:11:39.265 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.380 ms
10.253.214.9 2026-09-11 23:11:39.266 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.260 ms
10.253.214.9 2026-09-11 23:11:39.266 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.042 ms
10.253.214.9 2026-09-11 23:11:39.267 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1311 after 1.032 ms
10.253.214.9 2026-09-11 23:11:39.267 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1311 after 1.232 ms
10.253.214.9 2026-09-11 23:11:39.267 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.397 ms
10.253.214.9 2026-09-11 23:11:39.268 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.385 ms
10.253.214.9 2026-09-11 23:11:39.268 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.044 ms
10.253.214.9 2026-09-11 23:11:39.268 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.622 ms
10.253.214.9 2026-09-11 23:11:39.268 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.269 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.045 ms
10.253.214.9 2026-09-11 23:11:39.269 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.882 ms
10.253.214.9 2026-09-11 23:11:39.269 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.020 ms
10.253.214.9 2026-09-11 23:11:39.269 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.918 ms
10.253.214.9 2026-09-11 23:11:39.270 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.172 ms
10.253.214.9 2026-09-11 23:11:39.270 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.032 ms
10.253.214.9 2026-09-11 23:11:39.270 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1317 after 1.019 ms
10.253.214.9 2026-09-11 23:11:39.271 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1317 after 1.748 ms
10.253.214.9 2026-09-11 23:11:39.271 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.078 ms
10.253.214.9 2026-09-11 23:11:39.271 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 4.364 ms
10.253.214.9 2026-09-11 23:11:39.272 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 4.448 ms
10.253.214.9 2026-09-11 23:11:39.272 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.040 ms
10.253.214.9 2026-09-11 23:11:39.272 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.040 ms
10.253.214.9 2026-09-11 23:11:39.273 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1320 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.273 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.032 ms
10.253.214.9 2026-09-11 23:11:39.275 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1320 after 3.224 ms
10.253.214.9 2026-09-11 23:11:39.275 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.382 ms
10.253.214.9 2026-09-11 23:11:39.276 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.771 ms
10.253.214.9 2026-09-11 23:11:39.276 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.042 ms
10.253.214.9 2026-09-11 23:11:39.276 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.674 ms
10.253.214.9 2026-09-11 23:11:39.276 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.065 ms
10.253.214.9 2026-09-11 23:11:39.277 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.429 ms
10.253.214.9 2026-09-11 23:11:39.277 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.076 ms
10.253.214.9 2026-09-11 23:11:39.277 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.117 ms
10.253.214.9 2026-09-11 23:11:39.278 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.033 ms
10.253.214.9 2026-09-11 23:11:39.278 UTC [247] authenticator@postgres LOG:  process 247 still waiting for ShareLock on transaction 1325 after 1.215 ms
10.253.214.9 2026-09-11 23:11:39.280 UTC [247] authenticator@postgres LOG:  process 247 acquired ShareLock on transaction 1325 after 2.968 ms
10.253.214.9 2026-09-11 23:11:39.281 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.460 ms
10.253.214.9 2026-09-11 23:11:39.281 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.250 ms
10.253.214.9 2026-09-11 23:11:39.281 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.128 ms
10.253.214.9 2026-09-11 23:11:39.281 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.020 ms
10.253.214.9 2026-09-11 23:11:39.282 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.532 ms
10.253.214.9 2026-09-11 23:11:39.282 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.582 ms
10.253.214.9 2026-09-11 23:11:39.282 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.021 ms
10.253.214.9 2026-09-11 23:11:39.282 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.145 ms
10.253.214.9 2026-09-11 23:11:39.283 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.049 ms
10.253.214.9 2026-09-11 23:11:39.283 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.160 ms
10.253.214.9 2026-09-11 23:11:39.283 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.475 ms
10.253.214.9 2026-09-11 23:11:39.283 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.070 ms
10.253.214.9 2026-09-11 23:11:39.284 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.361 ms
10.253.214.9 2026-09-11 23:11:39.284 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.065 ms
10.253.214.9 2026-09-11 23:11:39.284 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.644 ms
10.253.214.9 2026-09-11 23:11:39.284 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.081 ms
10.253.214.9 2026-09-11 23:11:39.284 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.483 ms
10.253.214.9 2026-09-11 23:11:39.285 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.444 ms
10.253.214.9 2026-09-11 23:11:39.285 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.285 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.533 ms
10.253.214.9 2026-09-11 23:11:39.286 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.025 ms
10.253.214.9 2026-09-11 23:11:39.286 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.028 ms
10.253.214.9 2026-09-11 23:11:39.286 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.772 ms
10.253.214.9 2026-09-11 23:11:39.286 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.038 ms
10.253.214.9 2026-09-11 23:11:39.286 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.772 ms
10.253.214.9 2026-09-11 23:11:39.287 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.287 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.632 ms
10.253.214.9 2026-09-11 23:11:39.287 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.237 ms
10.253.214.9 2026-09-11 23:11:39.287 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.043 ms
10.253.214.9 2026-09-11 23:11:39.288 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.095 ms
10.253.214.9 2026-09-11 23:11:39.288 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.027 ms
10.253.214.9 2026-09-11 23:11:39.288 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.185 ms
10.253.214.9 2026-09-11 23:11:39.288 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.053 ms
10.253.214.9 2026-09-11 23:11:39.288 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.038 ms
10.253.214.9 2026-09-11 23:11:39.288 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.042 ms
10.253.214.9 2026-09-11 23:11:39.289 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.975 ms
10.253.214.9 2026-09-11 23:11:39.289 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.030 ms
10.253.214.9 2026-09-11 23:11:39.289 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.698 ms
10.253.214.9 2026-09-11 23:11:39.289 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.012 ms
10.253.214.9 2026-09-11 23:11:39.289 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.650 ms
10.253.214.9 2026-09-11 23:11:39.290 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.042 ms
10.253.214.9 2026-09-11 23:11:39.290 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.573 ms
10.253.214.9 2026-09-11 23:11:39.290 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.290 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.556 ms
10.253.214.9 2026-09-11 23:11:39.290 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.356 ms
10.253.214.9 2026-09-11 23:11:39.291 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.392 ms
10.253.214.9 2026-09-11 23:11:39.291 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.138 ms
10.253.214.9 2026-09-11 23:11:39.291 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.408 ms
10.253.214.9 2026-09-11 23:11:39.291 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.320 ms
10.253.214.9 2026-09-11 23:11:39.292 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.095 ms
